                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.93493,                0.69327,                      0,                 1.0228,                0.75704,                      0,                0.53931,                0.45356,                0.42713,                0.21829,                      0,                      0,                      0,                      0,                      0,                      0,             8.4536e-05,             8.4536e-05,             8.4536e-05
                     90,                0.87615,                0.62234,                      0,                0.96589,                0.67639,                      0,                0.44168,                0.48211,                0.41744,                0.22277,                      0,                      0,                      0,                      0,                      0,                      0,             7.4616e-05,             7.4616e-05,             7.4616e-05
                     91,                0.87132,                 0.6144,                      0,                 0.8948,                0.62655,                      0,                0.49308,                0.46344,                0.43581,                0.22319,                      0,                      0,                      0,                      0,                      0,                      0,             6.5453e-05,             6.5453e-05,             6.5453e-05
                     92,                0.76696,                0.54295,                      0,                0.84135,                0.59647,                      0,                0.52016,                0.47054,                0.43695,                0.22728,                      0,                      0,                      0,                      0,                      0,                      0,             5.7056e-05,             5.7056e-05,             5.7056e-05
                     93,                0.77466,                0.52196,                      0,                0.84541,                0.57524,                      0,                0.51982,                0.43379,                0.42873,                0.22519,                      0,                      0,                      0,                      0,                      0,                      0,             4.9434e-05,             4.9434e-05,             4.9434e-05
                     94,                0.76581,                 0.5347,                      0,                0.84084,                0.55201,                      0,                0.55824,                0.40854,                0.41405,                0.22184,                      0,                      0,                      0,                      0,                      0,                      0,             4.2594e-05,             4.2594e-05,             4.2594e-05
                     95,                0.79289,                0.55487,                      0,                0.89534,                0.58071,                      0,                0.52886,                0.46064,                0.42977,                0.22778,                      0,                      0,                      0,                      0,                      0,                      0,             3.6543e-05,             3.6543e-05,             3.6543e-05
                     96,                0.78682,                0.54791,                      0,                0.86509,                0.60782,                      0,                0.52612,                0.43728,                 0.4261,                0.22539,                      0,                      0,                      0,                      0,                      0,                      0,             3.1286e-05,             3.1286e-05,             3.1286e-05
                     97,                0.78388,                0.61832,                      0,                0.80133,                0.57275,                      0,                0.48865,                0.45814,                0.42285,                0.22218,                      0,                      0,                      0,                      0,                      0,                      0,             2.6829e-05,             2.6829e-05,             2.6829e-05
                     98,                0.76509,                0.54337,                      0,                0.83667,                0.58964,                      0,                0.53487,                0.45814,                0.42919,                0.22428,                      0,                      0,                      0,                      0,                      0,                      0,             2.3177e-05,             2.3177e-05,             2.3177e-05
                     99,                0.75314,                0.52897,                      0,                0.85016,                0.56143,                      0,                0.55064,                0.42553,                0.42645,                0.22601,                      0,                      0,                      0,                      0,                      0,                      0,             2.0332e-05,             2.0332e-05,             2.0332e-05
                    100,                0.75519,                0.53092,                      0,                0.85477,                0.55166,                      0,                0.53854,                0.42943,                0.43112,                0.22421,                      0,                      0,                      0,                      0,                      0,                      0,             1.8298e-05,             1.8298e-05,             1.8298e-05
